key,title,veredict,code,reason
22ITV484,Protecting machine learning from poisoning attacks: a risk-based approach,,,
3M7NPA4W,Blockchain-as-a-service: a pure chain approach,,,
2WH4J7HJ,"A five-layer framework for AI governance: integrating regulation, standards, and",,,
25KPIEM3,Informed machine learning for complex data,,,
3CC3CT5X,"Digitalization, autonomy and the future of energy policy",,,
289B8Q2K,"Fake news research trends, linkages to generative artificial intelligence and su",,,
3NQVKCBV,FuzzyDoo: a framework for finding flaws in the 5G landscape,,,
2REJWZ26,Use of supervised machine learning to detect abuse of COVID-19 related domain na,,,
2V638R3G,Recent advances in wind turbine condition monitoring using SCADA data: a state-o,,,
3HHZR7UW,Identifying self-disclosed anxiety on Twitter: a natural language processing app,,,
36F9K724,Uncovering the impact of IP location display on user behavior in China's social,,,
2NQ79D5T,An architecture for model-based and intelligent automation in DevOps,,,
2DGNUPZS,"SoK: timeline based event reconstruction for digital forensics: terminology, met",,,
323FCJKB,How does misinformation influence the digital agri-food advisory service? Multi-,,,
2UISN6TP,Neural networks based domain name generation,,,
3R66ZVXX,On signal encryption at MapReduce and collaborative attribute-based access with,,,
3AER56QR,LiDAR localization using position-encoded landmarks without point cloud maps,,,
3B6CEEK3,Developing SPIM-TA: a maturity-level framework for systematic process improvemen,,,
2JGB2HMW,Challenges and opportunities for artificial intelligence in auditing: evidence f,,,
2SFCVACG,A systematic mapping study of online health communities in the field of informat,,,
2GQQ47P8,Overview of the future impact of wearables and artificial intelligence in health,,,
2ZBGGWN3,Bibliographic review of AI applied to project management and its analysis in the,,,
3B3WAE5H,Information retrieval algorithms and neural ranking models to detect previously,,,
3BKEDGSM,Combined geometric and kinetic data model in model-based systems engineering of,,,
26PTTSJQ,The need for human-centered design for AI robots in urban parks and forests,,,
3J8BI94V,Online sexist meme and its effects on moral and emotional processes in social me,,,
2KXG966Q,"My AI, my code, my secret – trade secrecy, informational transparency and meanin",,,
2V33AR6B,Spherical sustainability in construction and demolition: how aligned are policie,,,
648CH2QU,Automating software size measurement with language models: insights from industr,,,
6DHV3BUX,JAPPI: an unsupervised endpoint application identification methodology for impro,,,
6HPAN5VN,How informative are cybersecurity risk disclosures? Empirical analysis of firms,,,
6TKCINWZ,Exploring perceptions of decision-makers and specialists in defensive machine le,,,
72SR7NXN,Knowledge enhancement and disentanglement learning for video captioning,,,
78IWDV36,PAttL-GAN: pixel attention localization generative adversarial network for unsup,,,
7NI4DQFK,Predictive analytics-based cybersecurity framework for cloud infrastructure:,,,
6FU2D4I3,Gamifying information security: adversarial risk exploration for IT/OT infrastru,,,
5XX68WCJ,Towards a robust android malware detection model using explainable deep learning,,,
743Z6REA,HyVAW: a hybrid vulnerability analysis workflow threat model methodology for com,,,
77G22SD4,Preparing for an agentic era of human-machine transportation systems: opportunit,,,
6BX3RIMH,Generative AI and process systems engineering: the next frontier,,,
663PXKGI,Harnessing the power of AI-instructor collaborative grading approach: topic-base,,,
679SJBHR,Embodied digital twin driven human-centric collaborative robot behavior: cogniti,,,
74H4Z6G5,CADefender: detection of unknown malicious AutoLISP computer-aided design files,,,
7ITUQT6V,A SysML-based language for evaluating the integrity of simulation and physical e,,,
6D6N5822,Adaptive security framework for multi-environment networks using ensemble data d,,,
5U73JM77,"A survey on deep learning in edge–cloud collaboration: model partitioning, priva",,,
7G79Z5E9,Toward greener logistics: uncovering key enablers of the physical internet using,,,
66499SCZ,Edge AI for internet of energy: challenges and perspectives,,,
5S9X36TN,Redefining boundaries in innovation and knowledge domains: investigating the imp,,,
6T3BZ242,Application of meta-learning in cyberspace security: a survey,,,
7BHI2IBN,Content disarm and reconstruction of Microsoft office OLE files,,,
7MBPD2QM,Analysis and experimental comparison of state-of-the-art deep-learning classific,,,
7PW4RXS6,"A meta-survey of adversarial attacks against artificial intelligence algorithms,",,,
5XRNU9RP,"DeepFake detection in the AIGC era: a survey, benchmarks, and future perspective",,,
6RGVS78X,AI and blockchain-based source code vulnerability detection and prevention syste,,,
7FDU25PH,Real-time identity authentication scheme based on dynamic credentials for power,,,
7M48XIF7,Resilient cognitive twin: a generative approach,,,
7EEEBTF7,Multi-paradigm modeling for cyber–physical systems: a systematic mapping review,,,
7KCCU5GV,Disease and personality information enhanced depression detection based on the T,,,
65EVC9X7,"HalalChain: a decentralized blockchain model for enhanced data integrity, real-t",,,
62PCJ3BJ,Detecting vulnerabilities in IoT software: new hybrid model and comprehensive da,,,
6PJMSSE3,Leveraging fusion of sequence tagging models for toxic spans detection,,,
7MWI2TWK,Exploring ethical frontiers of artificial intelligence in marketing,,,
7J6XHCSP,A value-driven system design framework for sustainable 6G networks,,,
6U87WN3M,New blockchain consensus algorithm applied on healthcare industry: proof of visi,,,
7CX236CJ,Enhancing understanding and addressing gender bias in IT/SE job advertisements,,,
7JFBAURT,"An overview of unmanned surface vehicles: methods, practices, and applications",,,
7GNM4HRP,IT-embedded dynamic capabilities for public institutions coping with disinformat,,,
7HJGAWMR,ViLanIoT: a visual language for improving internet of things systems representat,,,
69H9JVRE,Harnessing customized AI to create voice of customer via GPT3.5,,,
7ECU4KGC,"A I and contemporary challenges: the good, bad and the scary",,,
5ZMVIVAP,Exposing image splicing traces in scientific publications via uncertainty-guided,,,
7NVUCINB,Interpretable research of fuzzy methods: a literature survey,,,
67XD2W3U,Generative spatial artificial intelligence for sustainable smart cities: a pione,,,
77DWPH4U,A novel CAPTCHA recognition system based on refined visual attention,,,
5S7WJ77U,Evaluating quality of ontology-driven conceptual models abstractions,,,
6XM9E8J4,A/B testing: a systematic literature review,,,
7PJRI7EX,AI-driven business model innovation: a systematic review and research agenda,,,
75WV2B2Q,Digital sustainable growth model (DSGM): achieving synergy between economy and t,,,
72TDUA32,"Trust, transparency, and adoption in generative AI for software engineering: ins",,,
5ZPPR2RE,"Whom to pity, whom to scold? Effects of empathetic and normative AI-assisted int",,,
6GHS6S2T,GreenDFL: a framework for assessing the sustainability of decentralized federate,,,
7AU239E8,A knowledge graph-based learning assistance systems for industrial maintenance,,,
76KXGFQU,A digital twin-based framework for predictive quality assurance and supply chain,,,
5UQ9DV4I,A two-phase TOE framework integrating SEM and ANN for evaluating cloud computing,,,
5WMITM5A,STTraj2Vec: a spatio-temporal trajectory representation learning approach,,,
6MQQ9I9G,An efficient hybrid deep neural network model for multi-horizon forecasting of p,,,
8PXEJJNQ,"From COBIT to ISO 42001: evaluating cybersecurity frameworks for opportunities,",,,
9A73GXKK,Betastack: enhancing base station traffic prediction with network-specific large,,,
8ET8DS4X,Longitudinal abuse and sentiment analysis of hollywood movie dialogues using lan,,,
88RMSGW2,Generative AI of things for sustainable smart cities: synergizing cognitive augm,,,
8A8EVC7H,Reinforcement learning for an efficient and effective malware investigation duri,,,
86XU4B46,Scalable automation for IoT cyberSecurity compliance: ontology-driven reasoning,,,
9GTDAU52,Real-time traffic flow optimization using large language models and reinforcemen,,,
8UZNHS2K,MALM-CLIP: a generative multi-agent framework for multimodal fusion in few-shot,,,
8637WQ4Z,Serious games as a tool to model attack and defense scenarios for cyber-security,,,
9CKWJ2PR,"Evolving threats, emerging laws: poland's 2023 answer to the smishing challenge",,,
988IXFZZ,Research on the application of large language model in electric power enterprise,,,
88DUZITF,An ensemble of fuzzy soft expert set with deep learning on attack detection for,,,
8IWTXIJN,Data management in polish SMEs in the era of AI – threats and benefits of AI-bas,,,
82CNNHVB,An end-to-end learning approach for enhancing intrusion detection in industrial-,,,
7XPASFWA,Cerebrum twin: a 6D semantic digital twin of multi-lobe digital brain functions,,,
86W3QMU6,Towards reproducible machine learning-based process monitoring and quality predi,,,
7UXPPXHN,"Industry 6.0: vision, technical landscape, and opportunities",,,
85QQDUD5,Industry 4.0 for smart transport systems: foundations and applications,,,
8KFHNAXF,Research status and application of artificial intelligence large models in the o,,,
9EXWTMXN,G2MBCF: enhanced named entity recognition for sensitive entities identification,,,
94VEF4CF,DaC-GANSAEBF: divide and conquer-generative adversarial network—squeeze and exci,,,
994AJQKW,A comprehensive analysis combining structural features for detection of new rans,,,
7RWTGBI4,Edge-featured multi-hop attention graph neural network for intrusion detection s,,,
8J83CCN8,DecomCAM: advancing beyond saliency maps through decomposition and integration,,,
97GK27CI,Design of countermeasure to packet falsification in vehicle platooning by explai,,,
9EX656AF,Classifying spam emails using agglomerative hierarchical clustering and a topic-,,,
7VZZ8JVD,An enhanced mechanism for detection of spam emails by deep learning technique wi,,,
8C83U7AG,Just a little human intelligence feedback! Unsupervised learning assisted superv,,,
8DS8GSC2,"A survey of strategy-driven evasion methods for PE malware: transformation, conc",,,
7W65IEJZ,A real-time automated attack-defense graph generation approach,,,
934SUTDT,STG2P: a two-stage pipeline model for intrusion detection based on improved Ligh,,,
8EHFJWF2,Human-in-the-loop in smart manufacturing (H-SM): a review and perspective,,,
875HBBEC,A digital twin-based smart assembly for cable-driven parallel robots,,,
9A4M224E,Chatbots for active learning: a case of phishing email identification,,,
8MTNZFSI,Kyrtos: a methodology for automatic deep analysis of graphic charts with curves,,,
92X9R4Q3,Transferable features from 1D-convolutional network for industrial malware class,,,
8VWQ86VG,Developing and leveraging digital twins in engineering design,,,
88EA6VD3,Agile and iterative governance: china’s regulatory response to AI,,,
9CM9Q35T,Beyond the headlines: analyzing news topics related to port productivity across,,,
82UPHH58,SADDLE: a runtime feedback control architecture for adaptive distributed deep le,,,
8WJD2IUH,Privacy and personal data risk governance for generative artificial intelligence,,,
7S5PWWBV,So much more than test cases – an industrial study on testing of software units,,,
7QJ9JN97,Towards trustworthy and interpretable prediction of school bullying: a NAS-drive,,,
827GZ4JK,Visually inspired power quality disturbances recognition via gramian angular dif,,,
9EMDJTGJ,BugRadar: bug localization by knowledge graph link prediction,,,
8EQ95DFD,Transforming the construction industry towards circular supply chain management,,,
97PN5VIW,The impact of ChatGPT on human skills: a quantitative study on Twitter data,,,
7SWAC9CI,"The fundamental rights impact assessment (FRIA) in the AI act: roots, legal obli",,,
859N7ZT9,State of charge estimation of lithium-ion batteries using improved multi-attenti,,,
8T2TR97I,Enhancing the horizon scanning utility of futures-oriented systematic and scopin,,,
D8V49MUF,The paradigm of hallucinations in AI-driven cybersecurity systems: understanding,,,
BKFVPBHJ,DLAP: a deep learning augmented large language model prompting framework for sof,,,
CKJAX6D2,IDS-GPT: a novel deep learning-powered framework for network traffic intrusion d,,,
BWQU555Z,Leveraging large language models for human-machine collaborative troubleshooting,,,
CSX2UGKH,Sentiment analysis of the United States public support of nuclear power on socia,,,
BJTHXV97,GPT on the wire: towards realistic network traffic conversations generated with,,,
BV4ZSBA3,Enhanced automated code vulnerability repair using large language models,,,
CVXCVDBP,"Multimodal large language models in health care: applications, challenges, and f",,,
CCDSXB4T,Automated speech therapy through personalized pronunciation correction using rei,,,
C4878QS4,Cyber threat detection: unsupervised hunting of anomalous commands (UHAC),,,
CAPSTP2B,A cognitive platform for collecting cyber threat intelligence and real-time dete,,,
D9J5SXST,Severity-based triage of cybersecurity incidents using kill chain attack graphs,,,
BUCZI3RP,Integrating system calls and position-specific scoring for enhanced anomaly dete,,,
BZI9Z8A4,Towards a standardized methodology and dataset for evaluating LLM-based digital,,,
D7K6F3I4,Wavy-attention network for real-time cyber-attack detection in a small modular p,,,
C6FSIB82,LLM-agent-UMF: LLM-based agent unified modeling framework for seamless design of,,,
D6QHTMNE,TrafficT5: multi-stage self-correcting framework for traffic generation,,,
CP385XCM,Anomaly detection in attributed networks via local multi-order contrastive learn,,,
D9CG7BKX,Zilean: a modularized framework for large-scale temporal concept drift type clas,,,
CZUVU8VN,Automated vulnerability score prediction through lightweight generative AI,,,
BPMZQHUD,Enhancing cyber-physical-social systems through decentralized governance and blo,,,
CG73P79Z,Structure-aware malicious behavior detection through 2D spatio-temporal modeling,,,
C3NPAX7N,Anomaly detection using system logs: a deep learning approach,,,
C2N79NEJ,Explained anomaly detection in text reviews: can subjective scenarios be correct,,,
C65ECM72,Improving intrusion detection in O-RAN with synthetic data generation: a GAN and,,,
CQV9VZ2W,A systematic literature review of software engineering research on jupyter noteb,,,
CMHHDD34,Comprehensive benchmarking of knowledge graph embeddings methods for android mal,,,
C23UUZRJ,MGGPT: a multi-graph GPT-enhanced framework for dynamic fraud detection in crypt,,,
CX5WV8D9,Syntax-aware hierarchical attention networks for code vulnerability detection,,,
BJNQXKU2,Spam detection for YouTube video comments using machine learning approaches,,,
BRGK89A5,MPDroid: a multimodal pre-training android malware detection method with static,,,
CRXG6EK4,Assessing the detection of lateral movement through unsupervised learning techni,,,
BSV58HEP,Continual learning for energy management systems: a review of methods and applic,,,
BSBD7TA2,Reproducibility of machine learning-based fault detection and diagnosis for HVAC,,,
C5FRRGZD,PEGNN: peripheral-enhanced graph neural network for social bot detection,,,
BUB9792P,Semi-meta-supervised hate speech detection,,,
C696B3XQ,Semantic malware classification using artificial intelligence techniques,,,
CMUFMWWG,Hybrid distributed deep-GAN intrusion detection system in IoT with autoencoder:,,,
CEWB9BTP,Stacking ensemble-based HIDS framework for detecting anomalous system processes,,,
BKM2RMGV,A novel end-to-end ensemble framework for enhanced android malware detection acc,,,
C37B3VCN,Meta-knowledge triple driven multi-modal knowledge graph construction method and,,,
CVE3QRUZ,KubeFuzzer: automating RESTful API vulnerability detection in kubernetes,,,
D2R53GHB,Towards enhancing security of IoT-enabled healthcare system,,,
C9TU8ZCM,Uncovering phishing attacks using principles of persuasion analysis,,,
CIKH3G9U,AI-driven semantic similarity-based job matching framework for recruitment syste,,,
CBAPZEKE,"Redefining biological weapons in the evolving AI, CRISPR, and biothreat landscap",,,
BRVSN7CF,Is my stance the same as your stance? A cross validation study of stance detecti,,,
D2HU9R5V,Next-generation control for electrolyzers: a review of GPT-based AI frameworks i,,,
CI45RH5S,Adversarial attacks on artificial intelligence of things-based operational techn,,,
BTBUK8J2,AraCOVID19-MFH: arabic COVID-19 multi-label fake news & hate speech detection da,,,
CNAR46BX,A verifiable EVM-based cross-language smart contract implementation scheme for m,,,
CMNP5VEN,Intercepting hail hydra: real-time detection of algorithmically generated domain,,,
C9SGEHH2,Con-detect: detecting adversarially perturbed natural language inputs to deep cl,,,
CHV6R8V8,Balancing privacy and usability: a design science research approach for cookie c,,,
DA8BFZDP,Integration of data science with product design towards data-driven design,,,
CSWV7G9T,"Conceptual modeling: foundations, a historical perspective, and a vision for the",,,
C8J3XT92,SwiftR: cross-platform ransomware fingerprinting using hierarchical neural netwo,,,
CV4PHIS6,A cross-continental analysis of how regional cues shape top stack overflow contr,,,
BSR3QDMC,Beyond replacement: how project managers perceive the transformative role of AI,,,
C7XD8F7H,The privacy cost of fun: a measurement study of user data exposure in tiktok min,,,
DBF3KF5I,Few-shot cyberviolence intent classification with meta-learning AutoEncoder base,,,
D89MRXBR,Do names echo semantics? A large-scale study of identifiers used in C++’s named,,,
C9ZR4Q2I,Differences between human and artificial/augmented intelligence in medicine,,,
CUJMZDPS,MLPro 2.0 - online machine learning in python,,,
CKC9M7TX,VirtualPatch: distributing android security patches through android virtualizati,,,
BXDMDAPI,"AI for managing open innovation: opportunities, challenges, and a research agend",,,
BQ2TIU2C,From BIM to metaverse for AEC industry,,,
CEXWXCZQ,"AI vs. human-generated content and accounts on Instagram: user preferences, eval",,,
BXQQRFFQ,Enhancing healthcare decision support through explainable AI models for risk pre,,,
CZWHWTQ8,An agentic AI-based architecture for digital twins specialized in predictive mai,,,
D83VTM8U,SELF: a method of searching for library functions in stripped binary code,,,
BN9U5SN5,A sociotechnical perspective for responsible AI maturity models: findings from a,,,
C9S98JVI,Investigating OTA employees’ double-edged perceptions of ChatGPT: the moderating,,,
C8PPU8J2,HSE: a plug-and-play module for unified fault diagnosis foundation models,,,
CKE3KNC6,Digitization of the enterprise - prospects for process automation with using RPA,,,
D8AE9E8W,The power of emotions: leveraging user generated content for customer experience,,,
CS93WHK9,Investigative genetic genealogy in Europe: why the “manifestly made public by th,,,
D74BHHER,Correct audit logging in concurrent systems,,,
BRCEN782,From data jungle to data governance in digital ecosystems: empirical evidence fr,,,
C44RH3GM,Reflections and attentiveness on eXplainable artificial intelligence (XAI). The,,,
AXWC3A8V,Automated graph anomaly detection with large language models,,,
AFADIIEN,Building adaptative and transparent cyber agents with local language models,,,
9RZTMSNS,Misinformation detection on online social networks using pretrained language mod,,,
BB6IMQA8,Large language models integration in smart grids,,,
AV5QKP8B,"PhishNet: a real-time, scalable ensemble framework for smishing attack detection",,,
A9W67U4I,ChronoSentinel: incremental temporal embedding for security knowledge graph usin,,,
9TJG2B2N,Exploring large language models for indoor occupancy measurement in smart office,,,
BEPFGTIV,Unknown web attack threat detection based on large language model,,,
BI7Q8X23,The machines are watching: exploring the potential of large language models for,,,
AGVFKAGP,SecLMNER: a framework for enhanced named entity recognition in multi-source cybe,,,
9N7XDHGZ,A formal framework for LLM-assisted automated generation of zeek signatures from,,,
B33E3577,An innovative GPT-based open-source intelligence using historical cyber incident,,,
B6WNFUGP,CTFAgent: an LLM-powered agent for CTF challenge solving,,,
BE9UMCU9,"Generative AI and large language models - benefits, drawbacks, future and recomm",,,
BCZ9V28T,Automated robustness testing for LLM-based natural language processing software,,,
B4BWEZ5Z,Towards the future of pedestrian–AV interaction: human perception vs. LLM insigh,,,
AKW5SZ7E,OSTIS: a novel organization-specific threat intelligence system,,,
A9XD2IVQ,BlockLLM: a futuristic LLM-based decentralized vehicular network architecture fo,,,
BHCXH8IB,FHGraph: a novel framework for fake news detection using graph contrastive learn,,,
BCBTU22A,Automated discovery and mapping ATT&CK tactics and techniques for unstructured c,,,
9JKKUXR7,Evaluating spam filters and stylometric detection of AI-generated phishing email,,,
A2CH9254,Evaluating password strength based on information spread on social networks: a c,,,
AHQKUW2H,Actminer: applying causality tracking and increment aligning for graph-based thr,,,
ASU2PQQV,De-identification of open-source intelligence using finetuned LLaMA-3,,,
9K2IE4FE,A comparative analysis on using GPT and BERT for automated vulnerability scoring,,,
B4663B22,Threat intelligence ATT&CK extraction based on the attention transformer hierarc,,,
9QCIES38,"Unveiling security, privacy, and ethical concerns of ChatGPT",,,
9NQ39URK,A scoping review of ChatGPT research in accounting and finance,,,
9P6DAWJ7,Overview of key power system state estimation methods with a focus on artificial,,,
9NU32V6W,Zero-shot learning for requirements classification: an exploratory study,,,
BIBZB26K,VehicleLang: a probabilistic modeling and simulation language for modern vehicle,,,
AC4BM6VT,Contextual embeddings based on fine-tuned urdu-BERT for urdu threatening content,,,
BEGUXTDB,Federated learning for solar energy applications: a case study on real-time faul,,,
B25U8PKF,Threat intelligence named entity recognition techniques based on few-shot learni,,,
BI2SM8V7,Towards safer online communities: deep learning and explainable AI for hate spee,,,
BJJFHZZJ,DarkMor: a framework for darknet traffic detection that integrates local and spa,,,
9VE4UA2K,Multimodal privacy-leaking image detection method based on multi-image correlati,,,
9XUFDJGN,Territorialising the cloud or clouding the territory? Volumetric vulnerabilities,,,
AQBNEUIR,DST-IDS: dynamic spatial-temporal graph-transformer network for in-vehicle netwo,,,
AANXGKJR,CASI: context-aware automatic semantic inference by fusing video and network tra,,,
BBH3QQ7N,"AI agents vs. Agentic AI: a conceptual taxonomy, applications and challenges",,,
9K2VKRRE,Syscall-BSEM: behavioral semantics enhancement method of system call sequence fo,,,
BC58FWXF,mURLi: a tool for detection of malicious URLs and injection attacks,,,
A4JI6ZTZ,BotSSCL: social bot detection with self-supervised contrastive learning,,,
BFTWS9DH,Brace yourself! Why managers should adopt a synthetic media incident response pl,,,
9ZENKT4I,ChatGPT in science and research: how generative AI drives innovation and knowled,,,
A7FBRFRB,MalSort: lightweight and efficient image-based malware classification using mask,,,
9K4IPRVA,Malicious mining code detection based on ensemble learning in cloud computing en,,,
AQWTX8UF,An automatic vulnerability classification framework based on BiGRU-TextCNN,,,
B58MTGCT,Can attention detect AI-generated text? A novel benford's law-based approach,,,
9QJTKQVA,The delphi panel investigation of artificial intelligence in investor relations,,,
BFJII6AF,TinyWolf — efficient on-device TinyML training for IoT using enhanced grey wolf,,,
AEE54SUR,AI act compliance within the MyHealth@EU framework: tutorial,,,
A6CH5CX6,Urban mobility foundation model: a literature review and hierarchical perspectiv,,,
AQSURBWX,Explainable evaluation of generative adversarial networks for wearables data aug,,,
9V5RFEJ6,Fraud and complexity theory: moving beyond the fraud triangle towards a new theo,,,
BHMREIB7,Automating modern code review processes with code similarity measurement,,,
AICW2WD2,A comprehensive review on technological breakthroughs in precision agriculture:,,,
9KATIV2J,Development and testing of an IoT platform with smart algorithms for building en,,,
9W68ZIBP,Envyr: instant execution with smart inference,,,
9P4T69BK,Predicting learners' engagement and help-seeking behaviors in an e-learning envi,,,
AT6E7UUZ,Understanding danmaku and comment interactions through content features and vide,,,
AJC9ZK2J,Safety assessment of intelligent vehicles considering drivers’ risk perception i,,,
ACJ3G9QB,Architectures and algorithms of an autonomous small-scale drilling agent,,,
B3SA9RV9,Fuzz4Cuda: fuzzing your NVIDIA GPU libraries through debug interface,,,
AUUQWUCA,Classification of a nanocomposite using a combination between recurrent neural n,,,
9UPBZ57K,PhenoRerank: a re-ranking model for phenotypic concept recognition pre-trained o,,,
AAQJNE9P,Advanced framework for risk coupling analysis applied to ship groundings in shen,,,
ANTG77R2,Coherence mode: characterizing local graph structural information for temporal k,,,
9KNEP3VI,Discrete bayesian optimization via machine learning,,,
BFTVD4KZ,CitySpec with shield: a secure intelligent assistant for requirement formalizati,,,
B54RV6RG,Metadata schema for virtual building models in digital twins: VB schema implemen,,,
FCKQT7WI,LLM-APTDS: a high-precision advanced persistent threat detection system for imba,,,
FPJJ234K,An AI-driven thermal-fluid testbed for advanced small modular reactors: integrat,,,
GWFTEEBC,LLM-LADE: large language model-based log anomaly detection with explanation,,,
G2EV5E9F,A survey of large language models for cyber threat detection,,,
GU8NSS8Z,Can LLM-generated misinformation be detected: a study on cyber threat intelligen,,,
GIC8HKT5,Bridging the gap between LLMs and structured program vulnerability analysis: an,,,
GKB9EZZH,Revolutionizing power electronics design through large language models: applicat,,,
G8R7FTJI,"A survey of cyber threat attribution: challenges, techniques, and future directi",,,
FBCJ4SD3,Safeguarding user data privacy in online large language model services,,,
FN396VH9,RETO: reinforcement learning enhanced terminology optimization for cyber threat,,,
G3MFAD6H,Privacy issues in large language models: a survey,,,
F3Z289TJ,LM-hunter: an NLP-powered graph method for detecting adversary lateral movements,,,
G8CM9A6Q,Neurosymbolic AI for network intrusion detection systems: a survey,,,
GSUZNVRR,Enhancing cybersecurity in edge IIoT networks: an asynchronous federated learnin,,,
FRTDKITG,Belt rotation in pipe conveyors: development of an overlap monitoring system usi,,,
G3PFXU3P,Cybersecurity-aware log management system for critical water infrastructures,,,
GJCH3VGE,Tabular federated learning to detect cyber faults in smart buildings,,,
FTM6VZIS,HarmonyNet: navigating hate speech detection,,,
GT6G3MWU,Privacy and cybersecurity issues facing the metaverse: an analysis of technologi,,,
FAS2ANQJ,AI as a shield against cyberattacks - employee awareness in the EU,,,
FTQ24UUX,"Generative AI in EU law: liability, privacy, intellectual property, and cybersec",,,
G6HQHN49,Investigating ChatGPT and cybersecurity: a perspective on topic modeling and sen,,,
G2UPXP8F,From attack descriptions to vulnerabilities: a sentence transformer-based approa,,,
GFQ6AVMF,Leveraging evolutionary algorithms with a dynamic weighted search space approach,,,
FCM8R424,Blockchain-enabled mitigation strategies for distributed denial of service attac,,,
FNVA4D2K,Mining user privacy concern topics from app reviews,,,
GP3VI3XK,PWAGAT: potential web attacker detection based on graph attention network,,,
FWHDXJMI,From automated to autonomous process operations,,,
FVHTNQGD,LinguTimeX a framework for multilingual CTC detection using explainable AI and n,,,
GQU7CCNR,Exploring the directions of artificial intelligence in good health and well-bein,,,
FANJ539X,SoK: an empirical investigation of malware techniques in advanced persistent thr,,,
GNUFUFWP,Skip-patching spatial–temporal discrepancy-based anomaly detection on multivaria,,,
GDFUMASU,COVID-19 lies and truths: employing the elaboration likelihood model (ELM) and l,,,
GT8DK37N,Optimising blockchain security: computational analysis of adaptive AI coaching,,,
G7HB6SI6,"A 3D geospatial platform and AI tour application for visualizing archaeological,",,,
F8FFGUQS,Linking online activity to offline behavior: a meta-review of three decades of o,,,
FP4E5WXS,From screens to scenes: a survey of embodied AI in healthcare,,,
GU5WDII9,DSGN: log-based anomaly diagnosis with dynamic semantic gate networks,,,
FBTCETS9,"Deep learning for optimizing urban governance by ""sensing-processing-responding""",,,
F85265WH,Advanced genetic algorithm and penalty fitness function for enhancing DeFi secur,,,
FQM85KUN,CrossCode2Vec: a unified representation across source and binary functions for c,,,
FBV4S4XZ,SABA: scene-aware bidirectional backdoor attack against multimodal learning,,,
F33DAX45,"News sentiment, climate conditions, and New Zealand electricity market: a real-t",,,
FW8QUHG6,MDOB: enhancing resilient and explainable AI-powered malware detection using fea,,,
GE6Z5P68,The impact of AI foundation models on the future of digital engineering for logi,,,
GTTS8TCV,A semantic element representation model for malicious domain name detection,,,
F9EREERI,PypiGuard: a novel meta-learning approach for enhanced malicious package detecti,,,
