Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Human–AI Enhancement of Cyber Threat Intelligence,International Journal of Information Security,,,,10.1007/s10207-025-01004-4,Daniel CohenDov Te’eniInbal YahavAlexey ZagalskyDavid SchwartzGahl SilvermanYossi MannAmir ElaloufJeremy Makowski,2025,https://link.springer.com/article/10.1007/s10207-025-01004-4,Article
Large Language Model-Based Federated Zero-Shot Learning for&#xa0;Intrusion Detection in&#xa0;Smart Grids,Artificial Intelligence Applications and Innovations,,,,10.1007/978-3-031-96235-6_24,Rupshali DasguptaPabitra Mitra,2025,https://link.springer.com/chapter/10.1007/978-3-031-96235-6_24,Conference paper
A zero-shot self-improving NER method for cyber threat intelligence via knowledge injection,Cybersecurity,,,,10.1186/s42400-025-00503-0,Yingchang JiangHao HuYunpeng LiFeiyang LiChangzhi ZhaoCanhua ChenYuling Liu,2025,https://link.springer.com/article/10.1186/s42400-025-00503-0,Article
Localized large language model TCNNet 9B for Taiwanese networking and cybersecurity,Scientific Reports,,,,10.1038/s41598-025-90320-9,Jiun-Yi YangChia-Chun Wu,2025,https://link.springer.com/article/10.1038/s41598-025-90320-9,Article
Malgta: large language model-based guided malware tactical analysis,The Journal of Supercomputing,,,,10.1007/s11227-025-07545-8,Wenjie GuoJingfeng XueZeyang LiuWeijie HanJingjing Hu,2025,https://link.springer.com/article/10.1007/s11227-025-07545-8,Article
AI hype as a cyber security risk: the moral responsibility of implementing generative AI in business,AI and Ethics,,,,10.1007/s43681-024-00443-4,Declan HumphreysAbigail KoayDennis DesmondErica Mealy,2024,https://link.springer.com/article/10.1007/s43681-024-00443-4,Article
Utilizing LLM Embedding Technique for Intrusion Detection,Business Intelligence and Data Analytics,,,,10.1007/978-981-97-7717-4_50,Quang-Vinh DangThai-Ha Pham,2025,https://link.springer.com/chapter/10.1007/978-981-97-7717-4_50,Conference paper
"ChatGPT, a Life-Changing Phenomenon with Cyber-Security Implications",EU Digital Law in the AI Era,,,,10.1007/978-3-031-96743-6_14,Yianna Danidou,2025,https://link.springer.com/chapter/10.1007/978-3-031-96743-6_14,Chapter
Analysing the role of LLMs in cybersecurity incident management,International Journal of Information Security,,,,10.1007/s10207-025-01144-7,Gavin JonesDimitrios KasimatisNikolaos PitropakisRichard MacfarlaneWilliam J. Buchanan,2025,https://link.springer.com/article/10.1007/s10207-025-01144-7,Article
Vulnerability Patch Prediction Using LLM Based Bert Model with Trustworthy AI Practice for Cyber Security Enhancement,Artificial Intelligence Applications and Innovations,,,,10.1007/978-3-031-96235-6_31,Nihala BasheerShareeful IslamSpyridon PapastergiouHaralambos MouratidisNikolaos Papagiannopoulos,2025,https://link.springer.com/chapter/10.1007/978-3-031-96235-6_31,Conference paper
Machine Learning-Based Network Monitoring for Cybersecurity Threat Detection,Journal of Network and Systems Management,,,,10.1007/s10922-025-10001-w,Ala’ Abdulmajid EshmawiAmal Al-NowamiManar MirzaNada Abu-RayaRawa Al-ThabitStavros ShiaelesJin-Ghoo ChoiImran Ashraf,2025,https://link.springer.com/article/10.1007/s10922-025-10001-w,Article
When LLMs meet cybersecurity: a systematic literature review,Cybersecurity,,,,10.1186/s42400-025-00361-w,Jie ZhangHaoyu BuHui WenYongji LiuHaiqiang FeiRongrong XiLun LiYun YangHongsong ZhuDan Meng,2025,https://link.springer.com/article/10.1186/s42400-025-00361-w,Article
A Comprehensive User Study on Medical Device Threat Modeling Methodologies and CyberLlama2 - MEDICALHARM Threat Modeling Assistant.,International Journal of Information Security,,,,10.1007/s10207-025-01094-0,Emmanuel KwartengMumin CebeJamila KwartengNaveen Bansal,2025,https://link.springer.com/article/10.1007/s10207-025-01094-0,Article
Language Model-Driven Agent-Based Framework for&#xa0;Generating and&#xa0;Evaluating Cyber Attack Scenarios,PRIMA 2025: Principles and Practice of Multi-Agent Systems,,,,10.1007/978-3-032-13562-9_7,Hyeongjin AhnJihye KimMinsu ParkTaeeun KimSeul-Ki ChoiSaewoom LeeMoohong MinEunil Park,2026,https://link.springer.com/chapter/10.1007/978-3-032-13562-9_7,Conference paper
Generative AI: a double-edged sword in the cyber threat landscape,Artificial Intelligence Review,,,,10.1007/s10462-025-11285-9,Werisha IbrarDanish MahmoodAhmad Sami Al-ShamaylehGhufran AhmedSalman Z. AlharthiAdnan Akhunzada,2025,https://link.springer.com/article/10.1007/s10462-025-11285-9,Article
Intelligent Cyber Defense: Leveraging LLMs for&#xa0;Real-Time Threat Detection and&#xa0;Analysis,Information Systems,,,,10.1007/978-3-031-81322-1_5,Elena KakoulliEleftherios ZacharioudakisSalomi Evripidou,2025,https://link.springer.com/chapter/10.1007/978-3-031-81322-1_5,Conference paper
Relation Extraction Techniques in&#xa0;Cyber Threat Intelligence,Natural Language Processing and Information Systems,,,,10.1007/978-3-031-70239-6_24,Dincy R. ArikkatP. VinodRafidha Rehiman K. A.Serena NicolazzoAntonino NoceraMauro Conti,2024,https://link.springer.com/chapter/10.1007/978-3-031-70239-6_24,Conference paper
Securing social network user data in large language model deployments: challenges and best practices,Cluster Computing,,,,10.1007/s10586-025-05482-y,Nasir Ahmad JalaliChen Hongsong,2025,https://link.springer.com/article/10.1007/s10586-025-05482-y,Article
"Cyber threats in mobile healthcare applications: systematic review of enabling technologies, threat models, detection approaches, and future directions",Discover Computing,,,,10.1007/s10791-025-09686-z,Anayo Chukwu IkegwuUzoma Rita AloHenry Friday Nweke,2025,https://link.springer.com/article/10.1007/s10791-025-09686-z,Article
Explainable phishing website detection for secure and sustainable cyber infrastructure,Scientific Reports,,,,10.1038/s41598-025-27984-w,Tanzila KehkashanMaha AbdelhaqAhmad Sami Al-ShamaylehNazish HudaImran Ashraf YaseenAbdelmuttlib Ibrahim Abdalla AhmedAdnan Akhunzada,2025,https://link.springer.com/article/10.1038/s41598-025-27984-w,Article
Integrating LLM and GenAI for CyberSecure and Adaptive Resource Management in Large-Scale Wireless Sensor Networks,SN Computer Science,,,,10.1007/s42979-025-04552-7,Divya GuptaShalli Rani,2025,https://link.springer.com/article/10.1007/s42979-025-04552-7,Article
Weighted quality criteria for cyber threat intelligence: assessment and prioritisation in the MISP data model,International Journal of Information Security,,,,10.1007/s10207-025-01080-6,Dimitrios ChatziamanetoglouKonstantinos Rantos,2025,https://link.springer.com/article/10.1007/s10207-025-01080-6,Article
"AI-Powered Tools: Threat, Defense, and Cyber-Resilience for Individuals",Digital Technology Platforms and Deployment,,,,10.1007/978-3-031-86547-3_14,Tatiana AntipovaSimona RiureanPatricia RiureanGeorge Bolog,2025,https://link.springer.com/chapter/10.1007/978-3-031-86547-3_14,Chapter
SLF-ADM: Securing Linux frontiers: Advanced persistent threat (APT) detection using machine learning,Neural Computing and Applications,,,,10.1007/s00521-025-11338-8,Syed Sohaib KarimMehreen AfzalWaseem IqbalDawood Al AbriYawar Abbas,2025,https://link.springer.com/article/10.1007/s00521-025-11338-8,Article
"Active cybersecurity: vision, model, and key technologies",Frontiers of Information Technology & Electronic Engineering,,,,10.1631/FITEE.2500053,Xiaosong ZhangYukun ZhuXiong LiYongzhao ZhangWeina NiuFenghua XuJunpeng HeRan YanShiping Huang,2025,https://link.springer.com/article/10.1631/FITEE.2500053,Article
Intelligent dynamic cybersecurity risk management framework with explainability and interpretability of AI models for enhancing security and resilience of digital infrastructure,Journal of Reliable Intelligent Environments,,,,10.1007/s40860-025-00253-3,Shareeful IslamNihala BasheerSpyridon PapastergiouMario CiampiStefano Silvestri,2025,https://link.springer.com/article/10.1007/s40860-025-00253-3,Article
Advanced Real-Time Detection of&#xa0;Cyber Threat Information from&#xa0;Tweets,Foundations and Practice of Security,,,,10.1007/978-3-031-87499-4_2,Mohamed El Amine BekhoucheKamel Adi,2025,https://link.springer.com/chapter/10.1007/978-3-031-87499-4_2,Conference paper
"Large language models: applications, limitations, challenges, and recommendations in cybersecurity, digital forensics, and ethical hacking",Annals of Telecommunications,,,,10.1007/s12243-025-01134-9,Jean Paul A. YaacoubHassan N. NouraOla SalmanGuy Pujolle,2025,https://link.springer.com/article/10.1007/s12243-025-01134-9,Article
A comprehensive survey of manual and dynamic approaches for cybersecurity taxonomy generation,Knowledge and Information Systems,,,,10.1007/s10115-025-02382-w,Arnolnt SpyrosAnna KougioumtzidouAngelos PapoutsisEleni DarraDimitrios KavallierosAthanasios TziouvarasTheodora TsikrikaStefanos VrochidisIoannis Kompatsiaris,2025,https://link.springer.com/article/10.1007/s10115-025-02382-w,Article
Enhancing IoT cyber attacks intrusion detection through GAN-based data augmentation and hybrid deep learning models for MQTT network protocol cyber attacks,Cluster Computing,,,,10.1007/s10586-024-04752-5,Hayette ZeghidaMehdi BoulaicheRamdane ChikhAlwi M. BamhdiAna Luiza Bessa BarrosDjamel ZeghidaAhmed Patel,2024,https://link.springer.com/article/10.1007/s10586-024-04752-5,Article
CheatGuard: A cybersecurity inspired anti-cheating platform for higher education,Education and Information Technologies,,,,10.1007/s10639-025-13705-3,Imran TajSifan Waktole DadiAhmed Samer WazanRomain LabordeAbdulhadi Shoufan,2025,https://link.springer.com/article/10.1007/s10639-025-13705-3,Article
Phishing detection in IoT: an integrated CNN-LSTM framework with explainable AI and LLM-enhanced analysis,Discover Internet of Things,,,,10.1007/s43926-025-00202-9,Sara Mohammed AlasmariHouneida SaklyNaoufel KraiemAli Algarni,2025,https://link.springer.com/article/10.1007/s43926-025-00202-9,Article
LocalIntel: Generating Organizational Threat Intelligence from&#xa0;Global and&#xa0;Local Cyber Knowledge,Foundations and Practice of Security,,,,10.1007/978-3-031-87496-3_5,Shaswata MitraSubash NeupaneTrisha ChakrabortySudip MittalAritran PiplaiManas GaurShahram Rahimi,2025,https://link.springer.com/chapter/10.1007/978-3-031-87496-3_5,Conference paper
A Systematic Review of Voluntary Cybersecurity Standards and Frameworks,International Journal of Information Security,,,,10.1007/s10207-025-01121-0,Blessing Reuben-OwohElla Haig,2025,https://link.springer.com/article/10.1007/s10207-025-01121-0,Article
Large Language Model XAI approach for illicit activity Investigation in Bitcoin,Neural Computing and Applications,,,,10.1007/s00521-024-10510-w,Jack NichollsAditya KuppaNhien-An Le-Khac,2024,https://link.springer.com/article/10.1007/s00521-024-10510-w,Article
Usage of Large Language Model for Code Generation Tasks: A Review,SN Computer Science,,,,10.1007/s42979-025-04241-5,Stefano BistarelliMarco FioreIvan MercantiMarina Mongiello,2025,https://link.springer.com/article/10.1007/s42979-025-04241-5,Article
Assessing Cybersecurity Threats: The Application of NLP in Advanced Threat Intelligence Systems,Recent Trends and Advances in Artificial Intelligence,,,,10.1007/978-3-031-70924-1_1,Md Aminul IslamRabiul IslamSabbir Ahmed ChowdhuryAbdullah Hafez NurMd Abu SufianMehedi Hasan,2024,https://link.springer.com/chapter/10.1007/978-3-031-70924-1_1,Conference paper
European cybersecurity disclosure practices: a textual analysis,International Journal of Disclosure and Governance,,,,10.1057/s41310-025-00327-x,Kevin GauchLaura Georg SchaffnerElodie BehnamEnrico Prinz,2025,https://link.springer.com/article/10.1057/s41310-025-00327-x,Article
Ethical perspectives on deployment of large language model agents in biomedicine: a survey,AI and Ethics,,,,10.1007/s43681-025-00847-w,Nafiseh Ghaffar NiaAmin AmiriYuan LuoAdrienne Kline,2025,https://link.springer.com/article/10.1007/s43681-025-00847-w,Article
Cyber threat assessment and management for securing healthcare ecosystems using natural language processing,International Journal of Information Security,,,,10.1007/s10207-023-00769-w,Stefano SilvestriShareful IslamDmitry AmelinGabriele WeilerSpyridon PapastergiouMario Ciampi,2023,https://link.springer.com/article/10.1007/s10207-023-00769-w,Article
Cyber Threat Hunting Using Large Language Models,Proceedings of Ninth International Congress on Information and Communication Technology,,,,10.1007/978-981-97-3289-0_50,Vinayak Tanksale,2024,https://link.springer.com/chapter/10.1007/978-981-97-3289-0_50,Conference paper
CyberTracker: A Web Portal for&#xa0;Cyber Fraud Monitoring and&#xa0;Interactive Querying Using Lightweight Language Models,Data Science and Network Engineering,,,,10.1007/978-3-032-07735-6_28,A. VikasniB. JagathsriA. M. Abirami,2026,https://link.springer.com/chapter/10.1007/978-3-032-07735-6_28,Conference paper
Evaluation of the maturity of LLMs in the cybersecurity domain,International Journal of Information Security,,,,10.1007/s10207-025-01112-1,Tiago ConceiçãoNuno Cruz,2025,https://link.springer.com/article/10.1007/s10207-025-01112-1,Article
Countering Generative AI-Driven Social Engineering and&#xa0;Phishing: A&#xa0;Threat Modeling and&#xa0;Cybersecurity Awareness Framework,"Extended Reality and Serious Games for Education, Competitiveness, and Wellbeing",,,,10.1007/978-3-031-91481-2_12,Miguel Prada,2025,https://link.springer.com/chapter/10.1007/978-3-031-91481-2_12,Conference paper
Quality assessment of cyber threat intelligence knowledge graph based on adaptive joining of embedding model,Complex & Intelligent Systems,,,,10.1007/s40747-024-01661-3,Bin ChenHongyi LiDi ZhaoYitang YangChengwei Pan,2024,https://link.springer.com/article/10.1007/s40747-024-01661-3,Article
L2DAPT – LLMs and Linux: decoding advanced persistent threats,The Journal of Supercomputing,,,,10.1007/s11227-025-08129-2,Syed Sohaib KarimMehreen AfzalWaseem IqbalFarooq ZamanImran Rashid,2025,https://link.springer.com/article/10.1007/s11227-025-08129-2,Article
Enhancing DevSecOps practice with Large Language Models and Security Chaos Engineering,International Journal of Information Security,,,,10.1007/s10207-024-00909-w,Martin BedoyaSara PalaciosDaniel Díaz-LópezEstefania LaverdePantaleone Nespoli,2024,https://link.springer.com/article/10.1007/s10207-024-00909-w,Article
The Impact of Large Language Models on Cybersecurity,South African Computer Science and Information Systems Research Trends,,,,10.1007/978-3-031-96262-2_10,Harry MoongelaThembekile Mayayise,2026,https://link.springer.com/chapter/10.1007/978-3-031-96262-2_10,Conference paper
AI and Cybersecurity,Cybersecurity,,,,10.1007/978-3-031-68483-8_15,Audun Jøsang,2025,https://link.springer.com/chapter/10.1007/978-3-031-68483-8_15,Chapter
APTChaser: Cyber Threat Attribution via&#xa0;Attack Technique Modeling,Digital Forensics and Cyber Crime,,,,10.1007/978-3-031-89363-6_10,Yiming ZhangPeian YangZhengwei JiangChunyan MaMengjiao CuiYizhe You,2025,https://link.springer.com/chapter/10.1007/978-3-031-89363-6_10,Conference paper
Introduction to AI-Driven Cybersecurity and Threat Intelligence,AI-Driven Cybersecurity and Threat Intelligence,,,,10.1007/978-3-031-54497-2_1,Iqbal H. Sarker,2024,https://link.springer.com/chapter/10.1007/978-3-031-54497-2_1,Chapter
Security Copilot: A Blueprint for Leveraging Generative AI in Cyber Defense,Soft Computing and Signal Processing,,,,10.1007/978-981-96-0924-6_43,Varadharaj Varadhan KrishnanV. K. Sudha,2025,https://link.springer.com/chapter/10.1007/978-981-96-0924-6_43,Conference paper
Evaluating AI Agents for&#xa0;Cyber Defense: A Comparison of&#xa0;Deep Reinforcement Learning and&#xa0;LLM Approaches,Intelligent Data Engineering and Automated Learning – IDEAL 2025,,,,10.1007/978-3-032-10489-2_36,Hassan ChowdhryJaume ManeroSrinivas Sampalli,2026,https://link.springer.com/chapter/10.1007/978-3-032-10489-2_36,Conference paper
Large language model driven transferable key information extraction mechanism for nonstandardized tables,Scientific Reports,,,,10.1038/s41598-025-15627-z,Rong HuYe YangSen LiuZuchen LiJingyi LiuXingchen DingHanchi SunLingli Ren,2025,https://link.springer.com/article/10.1038/s41598-025-15627-z,Article
Enhancing Cyber Situational Awareness with&#xa0;AI: A Novel Pipeline Approach for&#xa0;Threat Intelligence Analysis and&#xa0;Enrichment,"Availability, Reliability and Security",,,,10.1007/978-3-032-00633-2_3,Dzenan HamzicFlorian SkopikMax LandauerMarkus WurzenbergerAndreas Rauber,2025,https://link.springer.com/chapter/10.1007/978-3-032-00633-2_3,Conference paper
Extracting Threats from&#xa0;System Descriptions with&#xa0;LLMs Comparing One and&#xa0;Two Agents Strategies,Testing Software and Systems,,,,10.1007/978-3-032-05188-2_15,Leonid ZelenskiyAndrey Sadovykh,2026,https://link.springer.com/chapter/10.1007/978-3-032-05188-2_15,Conference paper
Generative AI and Large Language Modeling in Cybersecurity,AI-Driven Cybersecurity and Threat Intelligence,,,,10.1007/978-3-031-54497-2_5,Iqbal H. Sarker,2024,https://link.springer.com/chapter/10.1007/978-3-031-54497-2_5,Chapter
Using LLM Agents for&#xa0;Data Integration in&#xa0;Cybersecurity Incidents,Intelligent Data Engineering and Automated Learning – IDEAL 2025,,,,10.1007/978-3-032-10486-1_33,Natalia MadrueñoJaime RuedaJavier García-OchoaAlberto Fernández-IsabelIsaac Martín de DiegoRomy R. Ravines,2026,https://link.springer.com/chapter/10.1007/978-3-032-10486-1_33,Conference paper
ELISAR: An Adaptive Framework for&#xa0;Cybersecurity Risk Assessment Powered by&#xa0;GenAI,Management of Digital EcoSystems,,,,10.1007/978-3-031-93598-5_16,Sabri AllaniKaram Bou-ChaayaHelmi Rais,2026,https://link.springer.com/chapter/10.1007/978-3-031-93598-5_16,Conference paper
CySecBERT: A Domain-Adapted Language Model for the Cybersecurity Domain,Proactive Cyber Threat Intelligence,,,,10.1007/978-3-658-49241-0_8,Philipp Kühn,2025,https://link.springer.com/chapter/10.1007/978-3-658-49241-0_8,Chapter
Perspective: A Novel Resilient Cybersecurity Management System for Connected and Automated Vehicles,Automotive Innovation,,,,10.1007/s42154-025-00355-x,Haoran GuangYongling HeBowen ZhengWeifeng GongYi ShiHao WuYaoguang CaoShichun YangHamid Reza Karimi,2025,https://link.springer.com/article/10.1007/s42154-025-00355-x,Article
Empowering Software Security: Leveraging Machine Learning for&#xa0;Anomaly Detection and&#xa0;Threat Prevention,Boosting Software Development Using Machine Learning,,,,10.1007/978-3-031-88188-6_10,Lalit Kumar VashishthaKakali ChattejeePranav PantSantosh Kumar SahuDurga Prasad Mohapatra,2025,https://link.springer.com/chapter/10.1007/978-3-031-88188-6_10,Chapter
"Leveraging large language models, graph neural networks, and explainable AI for revolutionizing the next-generation network intrusion detection systems",Journal of Intelligent Information Systems,,,,10.1007/s10844-025-00964-2,Samar G. AboulElaRasha F. Kashef,2025,https://link.springer.com/article/10.1007/s10844-025-00964-2,Article
Improving internet of health things security through anomaly detection framework using artificial intelligence driven ensemble approaches,Scientific Reports,,,,10.1038/s41598-025-10016-y,Manal Abdullah AlohaliMohammad AlamgeerAli M. Al-SharafiSomia A. AsklanyJawhara AljabriFaiz Abdullah AlotaibiSamah Hazzaa AlajmaniImène Issaoui,2025,https://link.springer.com/article/10.1038/s41598-025-10016-y,Article
"Large language models: an overview of foundational architectures, recent trends, and a new taxonomy",Discover Applied Sciences,,,,10.1007/s42452-025-07668-w,Ibomoiye Domor MienyeNobert JereGeorge ObaidoOyindamola Omolara OgunrukuEbenezer EsenoghoCameron Modisane,2025,https://link.springer.com/article/10.1007/s42452-025-07668-w,Article
"ELISAR: A Multi-Agent cybersecurity framework integrating retrieval-augmented generation for Blue, Red, and GRC operations",World Wide Web,,,,10.1007/s11280-025-01393-5,Sabri AllaniKaram Bou-ChaayaHelmi Rais,2025,https://link.springer.com/article/10.1007/s11280-025-01393-5,Article
CySecBERT: A Domain-Adapted Language Model for the Cybersecurity Domain,Deep Learning in Textual Low-Data Regimes for Cybersecurity,,,,10.1007/978-3-658-48778-2_11,Markus Bayer,2025,https://link.springer.com/chapter/10.1007/978-3-658-48778-2_11,Chapter
On the&#xa0;Properness of&#xa0;Large Language Models for&#xa0;Malware Detection,Risks and Security of Internet and Systems,,,,10.1007/978-3-031-89350-6_8,Lupaşcu MarilenaViţel Silviu ConstantinGavriluţ Dragoş TeodorLuchian Henri,2025,https://link.springer.com/chapter/10.1007/978-3-031-89350-6_8,Conference paper
NLP-Driven Cyber Threat Classification Leveraging the MITRE ATT&amp;CK Framework,Advances in Intelligent Systems and Digital Applications,,,,10.1007/978-3-031-95326-2_31,Zakaria BaouNour AmelloukMahmoud El HamlaouiAnas Motii,2025,https://link.springer.com/chapter/10.1007/978-3-031-95326-2_31,Conference paper
Reading Between the Lines: Machine Learning Ensemble and Deep Learning for Implied Threat Detection in Textual Data,International Journal of Computational Intelligence Systems,,,,10.1007/s44196-024-00580-y,Muhammad Owais RazaAreej Fatemah MeghjiNaeem Ahmed MahotoMana Saleh Al ReshanHamad Ali AbosaqAdel SulaimanAsadullah Shaikh,2024,https://link.springer.com/article/10.1007/s44196-024-00580-y,Article
Integrating sustainability into cybersecurity: insights from machine learning based topic modeling,Discover Sustainability,,,,10.1007/s43621-024-00754-w,Krishnashree AchuthanSriram SankaranSwapnoneel RoyRaghu Raman,2025,https://link.springer.com/article/10.1007/s43621-024-00754-w,Article
HyLLM-IDS: A Conceptual Hybrid LLM-Assisted Intrusion Detection Framework for&#xa0;Cyber-Physical Systems,"Computer Safety, Reliability, and Security. SAFECOMP 2025 Workshops",,,,10.1007/978-3-032-02018-5_10,Mamdouh MuhammadAbdelkader Magdy ShaabanReinhard GermanLoui Al Sardy,2026,https://link.springer.com/chapter/10.1007/978-3-032-02018-5_10,Conference paper
A comprehensive review of generative AI techniques and their impact on cybersecurity,Soft Computing,,,,10.1007/s00500-025-10702-z,Hamed AlqahtaniGulshan Kumar,2025,https://link.springer.com/article/10.1007/s00500-025-10702-z,Article
Large Language Models Are Unreliable for&#xa0;Cyber Threat Intelligence,"Availability, Reliability and Security",,,,10.1007/978-3-032-00627-1_17,Emanuele MezziFabio MassacciKatja Tuma,2025,https://link.springer.com/chapter/10.1007/978-3-032-00627-1_17,Conference paper
Domain-adaptive entity recognition: unveiling the potential of CSER in cybersecurity and beyond,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-024-02424-9,Md. Abu MarjanToshiyuki Amagasa,2024,https://link.springer.com/article/10.1007/s13042-024-02424-9,Article
LSAST: Enhancing Cybersecurity Through LLM-Supported Static Application Security Testing,ICT Systems Security and Privacy Protection,,,,10.1007/978-3-031-92882-6_12,Mete KeltekRong HuMohammadreza Fani SaniZiyue Li,2025,https://link.springer.com/chapter/10.1007/978-3-031-92882-6_12,Conference paper
Explainable artificial intelligence-based cyber resilience in internet of things networks using hybrid deep learning with improved chimp optimization algorithm,Scientific Reports,,,,10.1038/s41598-025-15146-x,Sarah A. AlzakariMohammed AljebreenNazir AhmadSultan AlahmariOthman AlrusainiAli AlqazzazHassan AlkhiriYahia Said,2025,https://link.springer.com/article/10.1038/s41598-025-15146-x,Article
Artificial intelligence for secure and sustainable industrial control systems - A Survey of challenges and solutions,Artificial Intelligence Review,,,,10.1007/s10462-025-11320-9,Muhammad Muzamil AslamAli TufailHaji GulMuhammad Nauman IrshadAbdallah Namoun,2025,https://link.springer.com/article/10.1007/s10462-025-11320-9,Article
Cybersecurity challenges and opportunities of machine learning-based artificial intelligence,Neural Computing and Applications,,,,10.1007/s00521-025-11604-9,Pawel CzajaBartlomiej GdowskiMarcin NiemiecWim MeesNikolai StoianovKonstantinos VotisVyacheslav KharchenkoVasilis KatosMatteo Merialdo,2025,https://link.springer.com/article/10.1007/s00521-025-11604-9,Article
Evaluating large transformer models for anomaly detection of resource-constrained IoT devices for intrusion detection system,Scientific Reports,,,,10.1038/s41598-025-21826-5,Ahmad AlmadhorShtwai AlsubaiNatalia KryvinskaAbdullah Al HejailiMohamed AyariBelgacem BouallegueSidra Abbas,2025,https://link.springer.com/article/10.1038/s41598-025-21826-5,Article
CSNet 2023 special issue—the resilient networked systems,Annals of Telecommunications,,,,10.1007/s12243-024-01063-z,Carol FungAugusto NetoNur Zincir-HeywoodChangqing Luo,2024,https://link.springer.com/article/10.1007/s12243-024-01063-z,Article
The role of large language models in agriculture: harvesting the future with LLM intelligence,Progress in Artificial Intelligence,,,,10.1007/s13748-024-00359-4,Tawseef Ayoub ShaikhTabasum RasoolK. VeningstonSyed Mufassir Yaseen,2024,https://link.springer.com/article/10.1007/s13748-024-00359-4,Article
Developing a multi-layer agent framework to enhance AI-generated educational questions for cybersecurity,Journal of Umm Al-Qura University for Engineering and Architecture,,,,10.1007/s43995-025-00136-x,Aziz Alshehri,2025,https://link.springer.com/article/10.1007/s43995-025-00136-x,Article
AC_MAPPER: a robust approach to ATT&amp;CK technique classification using input augmentation and class rebalancing,International Journal of Information Security,,,,10.1007/s10207-025-01146-5,Majed AlbarrakAdel AlqudhaibiSandeep Jagtap,2025,https://link.springer.com/article/10.1007/s10207-025-01146-5,Article
The rise and potential of large language model based agents: a survey,Science China Information Sciences,,,,10.1007/s11432-024-4222-0,Zhiheng XiWenxiang ChenXin GuoWei HeYiwen DingBoyang HongMing ZhangJunzhe WangSenjie JinEnyu ZhouRui ZhengXiaoran FanXiao WangLimao XiongYuhao ZhouWeiran WangChanghao JiangYicheng ZouXiangyang LiuZhangyue YinShihan DouRongxiang WengWenjuan QinYongyan ZhengXipeng QiuXuanjing HuangQi ZhangTao Gui,2025,https://link.springer.com/article/10.1007/s11432-024-4222-0,Article
